CODIGOCLIE,Path_archivo_datos,Nombre,CIIU,Mult. de potencias
1751341,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1751341-2023.csv,CODI-EMPAQUES DEL ECUADOR CIA LTDA,C2220.91,660.0
1763099,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1763099-2023.csv,INDUSTRIA RECICLADORA DE CAUCHO ECOCAUCHO S.A,C2013.21,440.0
1764314,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1764314-2023.csv,GOLDERIE TRADING S.A.,G4690.00,440.0
1773847,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1773847-2023.csv,ACERIAS NACIONALES DEL ECUADOR SOCIEDAD ANONIMA A.N.D.E.C.,C2410.22,1100.0
1777371,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1777371-2023.csv,Desconocido,Desconocido,Desconocido
1788482,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1788482-2023.csv,ALMACENES DE PRATI SA,G4711.01,440.0
1807768,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1807768-2023.csv,FESAECUADOR S.A.,C1811.03,440.0
1812489,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1812489-2023.csv,INDUSTRIAS ALIMENTICIAS ECUATORIANAS INALECSA S.A.S.,C1071.01,800.0
1813455,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1813455-2023.csv,JABONERIA WILSON S.A.,C2023.11,880.0
1815106,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1815106-2023.csv,ABRODESIVOS DEL ECUADOR S.A.,G4719.00,440.0
1818407,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1818407-2023.csv,Desconocido,Desconocido,Desconocido
1823479,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1823479-2023.csv,TRANSEJES ECUADOR CIA. LTDA.,C2930.01,1318.85
1840832,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1840832-2023.csv,TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.,G4711.01,880.0
1843901,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1843901-2023.csv,PF GROUP S.A.,C2930.09,2200.0
1844315,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1844315-2023.csv,INTACO ECUADOR S.A.,C2391.01,3800.0
1867926,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1867926-2023.csv,LA INDUSTRIA HARINERA S.A,C1061.11,1100.0
1910639,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1910639-2023.csv,Desconocido,Desconocido,Desconocido
1922748,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1922748-2023.csv,PRODUCTORA AVICOLA CEVALLOS PROAVICEA CIA. LTDA.,A0146.01,550.0
1936517,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1936517-2023.csv,Desconocido,Desconocido,Desconocido
1940609,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1940609-2023.csv,MONTGAR C.A.,C2013.11,1100.0
1954998,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1954998-2023.csv,INDUSTRIA DE PLASTICOS EXPANDIBLES PLASTEX S.A,C2013.11,1100.0
1972784,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1972784-2023.csv,ZARPECA S.A.,G4610.01,440.0
1975287,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1975287-2023.csv,GINSBERG ECUADOR S.A.,C2100.01,1100.0
1977201,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1977201-2023.csv,CONVERSA CONVERTIDORA DE PAPEL S.A. ,C1702.01,120.0
1987670,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1987670-2023.csv,Desconocido,Desconocido,Desconocido
1989800,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1989800-2023.csv,Desconocido,Desconocido,Desconocido
1990250,mediciones_por_anio_limpias/perfil_carga_anual_limpio-1990250-2023.csv,FALCONFARMS DE ECUADOR S.A. ,A0119.03,660.0
2001332,mediciones_por_anio_limpias/perfil_carga_anual_limpio-2001332-2023.csv,Desconocido,Desconocido,Desconocido
2007475,mediciones_por_anio_limpias/perfil_carga_anual_limpio-2007475-2023.csv,INDUSTRIA DE CUBIERTOS PLASTICOS DEL ECUADOR CUBIERTPLAST S.A.,C2220.92,1320.0
2012195,mediciones_por_anio_limpias/perfil_carga_anual_limpio-2012195-2023.csv,INCINERACION RESIDUOS TOXICOS PELIGROSOS INCINEROX CIA. LTDA.,E3822.00,660.0
3967,mediciones_por_anio_limpias/perfil_carga_anual_limpio-3967-2023.csv,Desconocido,Desconocido,Desconocido
566959,mediciones_por_anio_limpias/perfil_carga_anual_limpio-566959-2023.csv,Desconocido,Desconocido,Desconocido
6488,mediciones_por_anio_limpias/perfil_carga_anual_limpio-6488-2023.csv,Desconocido,Desconocido,Desconocido
730664,mediciones_por_anio_limpias/perfil_carga_anual_limpio-730664-2023.csv,Desconocido,Desconocido,Desconocido
8430,mediciones_por_anio_limpias/perfil_carga_anual_limpio-8430-2023.csv,Desconocido,Desconocido,Desconocido
880901,mediciones_por_anio_limpias/perfil_carga_anual_limpio-880901-2023.csv,Desconocido,Desconocido,Desconocido
90000309,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000309-2023.csv,NEYPLEX CIA LTDA,C2220.91,2078.18
90000312,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000312-2023.csv,TEXTILES LA ESCALA SA,C2100.03,1200.0
90000313,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000313-2023.csv,Desconocido,Desconocido,Desconocido
90000329,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000329-2023.csv,Desconocido,Desconocido,Desconocido
90000338,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000338-2023.csv,FRANCELANA SA,C1312.01,545.45
90000352,mediciones_por_anio_limpias/perfil_carga_anual_limpio-90000352-2023.csv,INDUSTRIAS DALMAU S.A.,C2220.92,1480.0
